Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Return,Short_MA,Long_MA
,,,,,,,UNH,UNH,UNH,UNH,UNH,,,
2025-12-23,2025,12,23,Tuesday,51,2025-51,319.67,323.42,319.44,320.46,4463300,-0.0011072421053353043,326.05785714285713,329.8746
2025-12-24,2025,12,24,Wednesday,51,2025-51,320.86,324.6,319.8,323.21,2842700,0.008559212552445183,325.79857142857145,329.2838
2025-12-26,2025,12,26,Friday,51,2025-51,322.83,327.46,321.9,327.4,4359300,0.012973845526599082,326.0192857142857,328.7528
2025-12-29,2025,12,29,Monday,52,2025-52,326.47,329.79,323.9,324.55,4346800,-0.008709155733693796,326.3942857142857,328.25260000000003
2025-12-30,2025,12,30,Tuesday,52,2025-52,325.33,331.66,325.11,327.73,4432500,0.00978888586318738,326.9978571428572,327.81739999999996
2025-12-31,2025,12,31,Wednesday,52,2025-52,327.88,328.88,325.48,325.7,4285200,-0.006171664019441803,327.12,327.1872
2026-01-02,2026,1,2,Friday,00,2026-00,326.48,335.72,323.13,331.91,6863600,0.01905423230723935,327.09714285714284,326.66380000000004
2026-01-05,2026,1,5,Monday,01,2026-01,330.97,342.31,329.39,337.45,7956600,0.016706324319021304,327.1092857142857,326.3272
2026-01-06,2026,1,6,Tuesday,01,2026-01,343.7,347.9,340.51,344.31,9441900,0.020320412049559256,327.6635714285714,326.1482
2026-01-07,2026,1,7,Wednesday,01,2026-01,344.32,345.44,333.53,337.14,7461400,-0.02083263165022753,328.1921428571428,325.7856
2026-01-08,2026,1,8,Thursday,01,2026-01,336.46,343.26,336.25,342.22,5059300,0.015071663314129236,329.265,325.4564
2026-01-09,2026,1,9,Friday,01,2026-01,342.61,344.4,337.91,339.39,4129100,-0.008274495409964278,330.38142857142856,325.034
2026-01-12,2026,1,12,Monday,02,2026-02,336.86,338.08,329.48,335.96,7146400,-0.010087701117167946,331.30357142857144,324.7896
2026-01-13,2026,1,13,Tuesday,02,2026-02,336.94,337.28,328.41,329.47,5605900,-0.019324125676351667,331.9214285714285,324.6214
2026-01-14,2026,1,14,Wednesday,02,2026-02,330.89,335.57,329.64,330.49,5740900,0.00308452721638397,332.6378571428572,324.5362
2026-01-15,2026,1,15,Thursday,02,2026-02,330.73,334.92,323.68,334.44,6943500,0.011941701536874794,333.44,324.68240000000003
2026-01-16,2026,1,16,Friday,02,2026-02,330.39,331.71,326.02,326.6,8039100,-0.023424533070189324,333.3828571428572,324.7298
2026-01-20,2026,1,20,Tuesday,03,2026-03,323.03,335.35,322.14,333.91,7596500,0.022385310196735064,334.0514285714286,324.9838
2026-01-21,2026,1,21,Wednesday,03,2026-03,334.9,343.43,334.17,343.11,8933300,0.027538944830167944,335.15,325.543
2026-01-22,2026,1,22,Thursday,03,2026-03,342.55,350.21,342.14,349.74,7491400,0.019324282508341062,336.8671428571429,326.1828
2026-01-23,2026,1,23,Friday,03,2026-03,349.55,353.09,348.28,351.5,9082200,0.005049818000796735,338.2664285714286,326.9094
2026-01-26,2026,1,26,Monday,04,2026-04,349.22,350.05,342.63,346.95,10399500,-0.012968125696567467,338.94500000000005,327.43
2026-01-27,2026,1,27,Tuesday,04,2026-04,290.05,295.5,276.66,278.93,65836900,-0.19605278307960639,334.27500000000003,326.36260000000004
2026-01-28,2026,1,28,Wednesday,04,2026-04,279.93,291.0,279.93,290.09,23396900,0.040042451462551254,330.9142857142857,325.6466
2026-01-29,2026,1,29,Thursday,04,2026-04,290.4,291.65,285.36,288.39,13456400,-0.005883861612534291,327.06928571428574,325.10560000000004
2026-01-30,2026,1,30,Friday,04,2026-04,288.2,289.04,280.9,283.1,12022200,-0.018338075711057722,323.04857142857145,324.485
2026-02-02,2026,2,2,Monday,05,2026-05,282.2,286.52,278.51,281.78,8664200,-0.0046700259405162425,319.17857142857144,323.974
2026-02-03,2026,2,3,Tuesday,05,2026-05,280.9,284.24,274.88,280.39,10809100,-0.00493724552667385,315.67285714285714,323.5232
2026-02-04,2026,2,4,Wednesday,05,2026-05,278.25,280.7,270.39,272.24,12944100,-0.02906603710025768,311.51214285714286,322.8614
2026-02-05,2026,2,5,Thursday,05,2026-05,270.63,273.19,262.74,264.96,13035300,-0.02671061264712915,306.54928571428576,321.88879999999995
2026-02-06,2026,2,6,Friday,05,2026-05,263.49,274.1,262.85,272.96,9572800,0.030161915411834883,302.71785714285716,321.0942
2026-02-09,2026,2,9,Monday,06,2026-06,270.49,276.44,269.67,272.02,10371600,-0.0034339380048634682,298.29714285714283,320.1392
2026-02-10,2026,2,10,Tuesday,06,2026-06,273.82,275.76,269.01,269.57,7284700,-0.008995195621580465,293.0442857142857,319.06780000000003
